Date;Open;High;Low;Close;Adj Close;Volume
18/02/2000;1.239.583;1.421.875;1.230.469;1.403.646;1.287.568;96086400
22/02/2000;1.359.375;1.377.604;1.312.500;1.364.583;1.251.735;54249600
23/02/2000;1.348.958;1.386.719;1.332.031;1.372.396;1.258.902;51139200
24/02/2000;1.380.208;1.389.323;1.302.083;1.359.375;1.246.958;24432000
25/02/2000;1.360.677;1.360.677;1.218.750;1.274.740;1.169.322;27873600
28/02/2000;1.268.229;1.281.250;1.244.792;1.265.625;1.160.961;51787200
29/02/2000;1.257.813;1.348.958;1.257.813;1.333.333;1.223.069;30604800
01/03/2000;1.333.333;1.333.333;1.273.438;1.294.271;1.187.238;38356800
02/03/2000;1.304.688;1.304.688;1.203.125;1.207.031;1.107.212;19104000
03/03/2000;1.208.333;1.239.583;1.197.917;1.226.563;1.125.129;27369600
06/03/2000;1.234.375;1.328.125;1.208.333;1.218.750;1.117.962;43209600
07/03/2000;1.562.500;1.817.708;1.494.792;1.735.677;1.592.140;195220800
08/03/2000;1.734.701;1.765.625;1.609.375;1.750.000;1.605.279;66873600
09/03/2000;1.770.833;2.250.000;1.765.625;2.089.518;1.916.720;95294400
10/03/2000;2.197.917;3.020.833;2.182.292;2.458.333;2.255.033;216120000
13/03/2000;2.229.167;3.125.000;2.208.333;3.109.375;2.852.237;241516800
14/03/2000;3.092.448;3.092.448;2.250.000;2.294.271;2.104.540;156777600
15/03/2000;2.458.659;2.522.135;2.125.000;2.200.521;2.018.542;99561600
16/03/2000;2.270.833;2.348.958;1.929.688;1.961.914;1.799.667;75038400
17/03/2000;1.916.667;2.229.167;1.916.341;2.080.729;1.908.657;55761600
20/03/2000;2.162.760;2.231.771;2.013.021;2.079.427;1.907.463;36528000
21/03/2000;2.083.333;2.101.563;1.812.500;1.976.563;1.813.106;53664000
22/03/2000;1.992.188;2.052.083;1.958.333;1.990.885;1.826.243;23059200
23/03/2000;1.972.656;2.135.417;1.968.750;2.026.042;1.858.493;30940800
24/03/2000;2.013.021;2.104.167;1.875.000;1.941.406;1.780.856;23160000
27/03/2000;1.937.500;2.000.000;1.796.875;1.813.802;1.663.804;38894400
28/03/2000;1.751.302;1.770.833;1.645.833;1.678.385;1.539.586;39331200
29/03/2000;1.684.896;1.723.958;1.500.000;1.567.708;1.438.062;46944000
30/03/2000;1.520.833;1.703.125;1.468.750;1.558.594;1.429.702;36192000
31/03/2000;1.665.039;1.830.729;1.635.417;1.760.091;1.614.535;96297600
03/04/2000;1.744.141;1.750.000;1.576.823;1.622.396;1.488.227;32995200
04/04/2000;1.708.333;1.736.979;1.187.500;1.562.500;1.433.284;51379200
05/04/2000;1.578.125;2.031.250;1.497.396;1.910.156;1.752.190;63960000
06/04/2000;1.998.698;2.100.260;1.903.646;1.998.698;1.833.410;40459200
07/04/2000;2.098.958;2.187.500;2.010.417;2.136.719;1.960.017;31857600
10/04/2000;2.173.177;2.299.479;1.907.552;1.947.917;1.786.829;39528000
11/04/2000;1.812.174;1.979.167;1.666.667;1.832.031;1.680.526;45758400
12/04/2000;1.834.635;1.875.000;1.635.417;1.641.927;1.506.143;31344000
13/04/2000;1.654.948;1.713.542;1.544.271;1.571.615;1.441.645;31329600
14/04/2000;1.471.354;1.584.635;1.364.583;1.433.268;1.314.740;42192000
17/04/2000;1.312.500;1.562.500;1.312.500;1.506.510;1.381.925;29409600
18/04/2000;1.658.203;1.869.792;1.609.375;1.773.438;1.626.779;47750400
19/04/2000;1.829.427;1.854.167;1.666.667;1.688.802;1.549.141;27835200
20/04/2000;1.734.375;1.766.927;1.656.250;1.679.688;1.540.781;15393600
24/04/2000;1.583.333;1.653.646;1.513.021;1.596.354;1.464.339;20596800
25/04/2000;1.667.969;1.822.917;1.664.063;1.770.833;1.624.390;24969600
26/04/2000;1.894.531;1.937.500;1.750.000;1.752.604;1.607.667;25411200
27/04/2000;1.635.417;1.914.063;1.626.302;1.895.833;1.739.052;28099200
28/04/2000;1.925.781;2.000.000;1.856.771;1.856.771;1.703.220;17904000
01/05/2000;1.927.083;1.968.750;1.871.094;1.916.667;1.758.163;11942400
02/05/2000;1.916.667;2.028.646;1.789.063;1.842.448;1.690.082;23400000
03/05/2000;1.830.729;1.890.625;1.666.667;1.812.500;1.662.610;32918400
04/05/2000;1.808.594;1.911.458;1.792.969;1.834.635;1.682.915;24120000
05/05/2000;1.826.823;1.963.542;1.802.083;1.919.271;1.760.552;17059200
08/05/2000;1.869.792;1.937.500;1.846.354;1.848.958;1.696.053;18513600
09/05/2000;1.880.208;1.895.833;1.770.833;1.822.917;1.672.166;17683200
10/05/2000;1.804.688;1.805.990;1.627.604;1.643.229;1.507.338;27408000
11/05/2000;1.666.667;1.743.490;1.644.531;1.713.542;1.571.836;24590400
12/05/2000;1.760.417;1.854.167;1.661.458;1.661.458;1.524.059;18782400
15/05/2000;1.653.646;1.804.688;1.572.917;1.776.042;1.629.167;28209600
16/05/2000;1.854.167;2.014.323;1.833.333;1.958.333;1.796.383;36643200
17/05/2000;2.062.500;2.388.021;2.061.198;2.302.083;2.111.706;129062400
18/05/2000;2.315.104;2.352.865;2.131.510;2.145.833;1.968.377;50990400
19/05/2000;2.083.333;2.197.917;2.067.708;2.127.604;1.951.656;52118400
22/05/2000;2.104.167;2.265.625;1.917.969;2.265.625;2.078.263;51715200
23/05/2000;2.208.333;2.457.031;2.171.875;2.247.396;2.061.541;77856000
24/05/2000;2.244.792;2.281.250;1.921.875;2.218.750;2.035.264;73963200
25/05/2000;2.251.302;2.385.417;2.160.156;2.187.500;2.006.598;56918400
26/05/2000;2.198.568;2.259.115;2.062.500;2.198.568;2.016.751;18345600
30/05/2000;2.257.813;2.346.354;2.247.396;2.289.063;2.099.762;30364800
31/05/2000;2.281.250;2.416.667;2.281.250;2.377.604;2.180.981;46953600
01/06/2000;2.447.917;2.470.052;2.382.813;2.444.010;2.241.896;41899200
02/06/2000;2.494.792;2.770.833;2.494.792;2.740.885;2.514.220;59217600
